Input.text,Answer.sentiment.label,Input.original,Title,Description
it's about issues most adults have to face in marriage and i think that's what i liked about it -- the real issues tucked between the silly and crude storyline ,Real,TRUE,Guess reviews are real or fake,You will be randomly shown an online review from either IMDB or Yelp. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.
it's about issues most adults have to face in marriage and i think that's what i liked about it -- the real issues tucked between the silly and crude storyline ,Real,TRUE,Guess reviews are real or fake,You will be randomly shown an online review from either IMDB or Yelp. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.
it's about issues most adults have to face in marriage and i think that's what i liked about it -- the real issues tucked between the silly and crude storyline ,Real,TRUE,Guess reviews are real or fake,You will be randomly shown an online review from either IMDB or Yelp. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.
it's about issues most adults have to face in marriage and i think that's what i liked about it -- the real issues tucked between the silly and crude storyline ,Real,TRUE,Guess reviews are real or fake,You will be randomly shown an online review from either IMDB or Yelp. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.
it's about issues most adults have to face in marriage and i think that's what i liked about it -- the real issues tucked between the silly and crude storyline ,Computer-altered,TRUE,Guess reviews are real or fake,You will be randomly shown an online review from either IMDB or Yelp. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.
it's about issues most adults have to face in marriage and i think that's what i liked about it -- the real issues tucked between the silly and crude storyline ,Real,TRUE,Guess reviews are real or fake,You will be randomly shown an online review from either IMDB or Yelp. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.
it's about issues most adults have to face in marriage and i think that's what i liked about it -- the real issues tucked between the silly and crude storyline ,Real,TRUE,Guess reviews are real or fake,You will be randomly shown an online review from either IMDB or Yelp. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.
it's about issues most adults have to face in marriage and i think that's what i liked about it -- the real issues tucked between the silly and crude storyline ,Real,TRUE,Guess reviews are real or fake,You will be randomly shown an online review from either IMDB or Yelp. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.
it's about issues most adults have to face in marriage and i think that's what i liked about it -- the real issues tucked between the silly and crude storyline ,Computer-altered,TRUE,Guess reviews are real or fake,You will be randomly shown an online review from either IMDB or Yelp. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.
it's about issues most adults have to face in marriage and i think that's what i liked about it -- the real issues tucked between the silly and crude storyline ,Computer-altered,TRUE,Guess reviews are real or fake,You will be randomly shown an online review from either IMDB or Yelp. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.
it's about issues most adults have to face in marriage and i think that's what i liked about it -- the real issues tucked between the silly and crude storyline ,Computer-altered,TRUE,Guess reviews are real or fake,You will be randomly shown an online review from either IMDB or Yelp. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.
it's about issues most adults have to face in marriage and i think that's what i liked about it -- the real issues tucked between the silly and crude storyline ,Computer-altered,TRUE,Guess reviews are real or fake,You will be randomly shown an online review from either IMDB or Yelp. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.
it's about issues most adults have to face in marriage and i think that's what i liked about it -- the real issues tucked between the silly and crude storyline ,Computer-altered,TRUE,Guess reviews are real or fake,You will be randomly shown an online review from either IMDB or Yelp. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.
it's about issues most adults have to face in marriage and i think that's what i liked about it -- the real issues tucked between the silly and crude storyline ,Computer-altered,TRUE,Guess reviews are real or fake,You will be randomly shown an online review from either IMDB or Yelp. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.
it's about issues most adults have to face in marriage and i think that's what i liked about it -- the real issues tucked between the silly and crude storyline ,Computer-altered,TRUE,Guess reviews are real or fake,You will be randomly shown an online review from either IMDB or Yelp. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.
it's about issues most adults have to face in marriage and i think that's what i liked about it -- the real issues tucked between the silly and crude storyline ,Real,TRUE,Guess reviews are real or fake,You will be randomly shown an online review from either IMDB or Yelp. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.
it's about issues most adults have to face in marriage and i think that's what i liked about it -- the real issues tucked between the silly and crude storyline ,Real,FALSE,Guess reviews are real or fake,You will be randomly shown an online review from either IMDB or Yelp. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.
"never lets go your emotions , taking them to surprising highs , sorrowful lows and hidden impulsive niches . . . gorgeous , passionate , and at times uncommonly moving .",Real,FALSE,Guess reviews are real or fake,You will be randomly shown an online review from either IMDB or Yelp. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.
"never lets go your emotions , taking them to surprising highs , sorrowful lows and hidden impulsive niches . . . gorgeous , passionate , and at times uncommonly moving .",Real,FALSE,Guess reviews are real or fake,You will be randomly shown an online review from either IMDB or Yelp. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.
"never lets go your emotions , taking them to surprising highs , sorrowful lows and hidden impulsive niches . . . gorgeous , passionate , and at times uncommonly moving .",Computer-altered,FALSE,Guess reviews are real or fake,You will be randomly shown an online review from either IMDB or Yelp. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.
"never lets go your emotions , taking them to surprising highs , sorrowful lows and hidden impulsive niches . . . gorgeous , passionate , and at times uncommonly moving .",Computer-altered,FALSE,Guess reviews are real or fake,You will be randomly shown an online review from either IMDB or Yelp. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.
"never lets go your emotions , taking them to surprising highs , sorrowful lows and hidden impulsive niches . . . gorgeous , passionate , and at times uncommonly moving .",Computer-altered,FALSE,Guess reviews are real or fake,You will be randomly shown an online review from either IMDB or Yelp. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.
"never lets go your emotions , taking them to surprising highs , sorrowful lows and hidden impulsive niches . . . gorgeous , passionate , and at times uncommonly moving .",Computer-altered,FALSE,Guess reviews are real or fake,You will be randomly shown an online review from either IMDB or Yelp. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.
"never lets go your emotions , taking them to surprising highs , sorrowful lows and hidden impulsive niches . . . gorgeous , passionate , and at times uncommonly moving .",Computer-altered,FALSE,Guess reviews are real or fake,You will be randomly shown an online review from either IMDB or Yelp. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.
"never lets go your emotions , taking them to surprising highs , sorrowful lows and hidden impulsive niches . . . gorgeous , passionate , and at times uncommonly moving .",Computer-altered,FALSE,Guess reviews are real or fake,You will be randomly shown an online review from either IMDB or Yelp. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.
"never lets go your emotions , taking them to surprising highs , sorrowful lows and hidden impulsive niches . . . gorgeous , passionate , and at times uncommonly moving .",Real,FALSE,Guess reviews are real or fake,You will be randomly shown an online review from either IMDB or Yelp. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.
"never lets go your emotions , taking them to surprising highs , sorrowful lows and hidden impulsive niches . . . gorgeous , passionate , and at times uncommonly moving .",Real,FALSE,Guess reviews are real or fake,You will be randomly shown an online review from either IMDB or Yelp. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.
"never lets go your emotions , taking them to surprising highs , sorrowful lows and hidden impulsive niches . . . gorgeous , passionate , and at times uncommonly moving .",Real,FALSE,Guess reviews are real or fake,You will be randomly shown an online review from either IMDB or Yelp. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.
"never lets go your emotions , taking them to surprising highs , sorrowful lows and hidden impulsive niches . . . gorgeous , passionate , and at times uncommonly moving .",Real,FALSE,Guess reviews are real or fake,You will be randomly shown an online review from either IMDB or Yelp. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.
"never lets go your emotions , taking them to surprising highs , sorrowful lows and hidden impulsive niches . . . gorgeous , passionate , and at times uncommonly moving .",Computer-altered,FALSE,Guess reviews are real or fake,You will be randomly shown an online review from either IMDB or Yelp. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.
"never lets go your emotions , taking them to surprising highs , sorrowful lows and hidden impulsive niches . . . gorgeous , passionate , and at times uncommonly moving .",Computer-altered,FALSE,Guess reviews are real or fake,You will be randomly shown an online review from either IMDB or Yelp. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.
"never lets go your emotions , taking them to surprising highs , sorrowful lows and hidden impulsive niches . . . gorgeous , passionate , and at times uncommonly moving .",Real,FALSE,Guess reviews are real or fake,You will be randomly shown an online review from either IMDB or Yelp. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.
"never lets go your emotions , taking them to surprising highs , sorrowful lows and hidden impulsive niches . . . gorgeous , passionate , and at times uncommonly moving .",Real,FALSE,Guess reviews are real or fake,You will be randomly shown an online review from either IMDB or Yelp. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.
"never lets go your emotions , taking them to surprising highs , sorrowful lows and hidden impulsive niches . . . gorgeous , passionate , and at times uncommonly moving .",Real,FALSE,Guess reviews are real or fake,You will be randomly shown an online review from either IMDB or Yelp. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.
"never lets go your emotions , taking them to surprising highs , sorrowful lows and hidden impulsive niches . . . gorgeous , passionate , and at times uncommonly moving .",Real,FALSE,Guess reviews are real or fake,You will be randomly shown an online review from either IMDB or Yelp. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.
"never lets go your emotions , taking them to surprising highs , sorrowful lows and hidden impulsive niches . . . gorgeous , passionate , and at times uncommonly moving .",Computer-altered,FALSE,Guess reviews are real or fake,You will be randomly shown an online review from either IMDB or Yelp. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.
"never lets go your emotions , taking them to surprising highs , sorrowful lows and hidden impulsive niches . . . gorgeous , passionate , and at times uncommonly moving .",Computer-altered,FALSE,Guess reviews are real or fake,You will be randomly shown an online review from either IMDB or Yelp. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.
"never lets go your emotions , taking them to surprising highs , sorrowful lows and hidden impulsive niches . . . gorgeous , passionate , and at times uncommonly moving .",Real,FALSE,Guess reviews are real or fake,You will be randomly shown an online review from either IMDB or Yelp. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.
""" . . . something appears to have been lost in the translation this time . the importance of being earnest movie seems to be missing a great deal of the acerbic repartee of the play . "" ",Computer-altered,TRUE,Guess reviews are real or fake,You will be randomly shown an online review from either IMDB or Yelp. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.
""" . . . something appears to have been lost in the translation this time . the importance of being earnest movie seems to be missing a great deal of the acerbic repartee of the play . "" ",Real,TRUE,Guess reviews are real or fake,You will be randomly shown an online review from either IMDB or Yelp. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.
""" . . . something appears to have been lost in the translation this time . the importance of being earnest movie seems to be missing a great deal of the acerbic repartee of the play . "" ",Real,TRUE,Guess reviews are real or fake,You will be randomly shown an online review from either IMDB or Yelp. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.
""" . . . something appears to have been lost in the translation this time . the importance of being earnest movie seems to be missing a great deal of the acerbic repartee of the play . "" ",Computer-altered,TRUE,Guess reviews are real or fake,You will be randomly shown an online review from either IMDB or Yelp. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.
""" . . . something appears to have been lost in the translation this time . the importance of being earnest movie seems to be missing a great deal of the acerbic repartee of the play . "" ",Computer-altered,TRUE,Guess reviews are real or fake,You will be randomly shown an online review from either IMDB or Yelp. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.
""" . . . something appears to have been lost in the translation this time . the importance of being earnest movie seems to be missing a great deal of the acerbic repartee of the play . "" ",Computer-altered,TRUE,Guess reviews are real or fake,You will be randomly shown an online review from either IMDB or Yelp. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.
""" . . . something appears to have been lost in the translation this time . the importance of being earnest movie seems to be missing a great deal of the acerbic repartee of the play . "" ",Real,TRUE,Guess reviews are real or fake,You will be randomly shown an online review from either IMDB or Yelp. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.
""" . . . something appears to have been lost in the translation this time . the importance of being earnest movie seems to be missing a great deal of the acerbic repartee of the play . "" ",Real,TRUE,Guess reviews are real or fake,You will be randomly shown an online review from either IMDB or Yelp. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.
""" . . . something appears to have been lost in the translation this time . the importance of being earnest movie seems to be missing a great deal of the acerbic repartee of the play . "" ",Real,TRUE,Guess reviews are real or fake,You will be randomly shown an online review from either IMDB or Yelp. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.
""" . . . something appears to have been lost in the translation this time . the importance of being earnest movie seems to be missing a great deal of the acerbic repartee of the play . "" ",Computer-altered,TRUE,Guess reviews are real or fake,You will be randomly shown an online review from either IMDB or Yelp. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.
""" . . . something appears to have been lost in the translation this time . the importance of being earnest movie seems to be missing a great deal of the acerbic repartee of the play . "" ",Computer-altered,TRUE,Guess reviews are real or fake,You will be randomly shown an online review from either IMDB or Yelp. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.
""" . . . something appears to have been lost in the translation this time . the importance of being earnest movie seems to be missing a great deal of the acerbic repartee of the play . "" ",Computer-altered,TRUE,Guess reviews are real or fake,You will be randomly shown an online review from either IMDB or Yelp. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.
""" . . . something appears to have been lost in the translation this time . the importance of being earnest movie seems to be missing a great deal of the acerbic repartee of the play . "" ",Real,TRUE,Guess reviews are real or fake,You will be randomly shown an online review from either IMDB or Yelp. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.
""" . . . something appears to have been lost in the translation this time . the importance of being earnest movie seems to be missing a great deal of the acerbic repartee of the play . "" ",Computer-altered,TRUE,Guess reviews are real or fake,You will be randomly shown an online review from either IMDB or Yelp. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.
""" . . . something appears to have been lost in the translation this time . the importance of being earnest movie seems to be missing a great deal of the acerbic repartee of the play . "" ",Computer-altered,TRUE,Guess reviews are real or fake,You will be randomly shown an online review from either IMDB or Yelp. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.
""" . . . something appears to have been lost in the translation this time . the importance of being earnest movie seems to be missing a great deal of the acerbic repartee of the play . "" ",Computer-altered,TRUE,Guess reviews are real or fake,You will be randomly shown an online review from either IMDB or Yelp. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.
""" . . . something appears to have been lost in the translation this time . the importance of being earnest movie seems to be missing a great deal of the acerbic repartee of the play . "" ",Real,TRUE,Guess reviews are real or fake,You will be randomly shown an online review from either IMDB or Yelp. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.
""" . . . something appears to have been lost in the translation this time . the importance of being earnest movie seems to be missing a great deal of the acerbic repartee of the play . "" ",Computer-altered,TRUE,Guess reviews are real or fake,You will be randomly shown an online review from either IMDB or Yelp. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.
""" . . . something appears to have been lost in the translation this time . the importance of being earnest movie seems to be missing a great deal of the acerbic repartee of the play . "" ",Computer-altered,TRUE,Guess reviews are real or fake,You will be randomly shown an online review from either IMDB or Yelp. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.
""" . . . something appears to have been lost in the translation this time . the importance of being earnest movie seems to be missing a great deal of the acerbic repartee of the play . "" ",Real,TRUE,Guess reviews are real or fake,You will be randomly shown an online review from either IMDB or Yelp. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.
""" . . . something appears to have been lost in the translation this time . the importance of being earnest movie seems to be missing a great deal of the acerbic repartee of the play . "" ",Real,TRUE,Guess reviews are real or fake,You will be randomly shown an online review from either IMDB or Yelp. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.
steven soderbergh doesn't remake andrei tarkovsky's solaris so much as distill it .,Real,TRUE,Guess reviews are real or fake,You will be randomly shown an online review from either IMDB or Yelp. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.
steven soderbergh doesn't remake andrei tarkovsky's solaris so much as distill it .,Real,TRUE,Guess reviews are real or fake,You will be randomly shown an online review from either IMDB or Yelp. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.
steven soderbergh doesn't remake andrei tarkovsky's solaris so much as distill it .,Real,TRUE,Guess reviews are real or fake,You will be randomly shown an online review from either IMDB or Yelp. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.
steven soderbergh doesn't remake andrei tarkovsky's solaris so much as distill it .,Real,TRUE,Guess reviews are real or fake,You will be randomly shown an online review from either IMDB or Yelp. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.
steven soderbergh doesn't remake andrei tarkovsky's solaris so much as distill it .,Real,TRUE,Guess reviews are real or fake,You will be randomly shown an online review from either IMDB or Yelp. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.
steven soderbergh doesn't remake andrei tarkovsky's solaris so much as distill it .,Real,TRUE,Guess reviews are real or fake,You will be randomly shown an online review from either IMDB or Yelp. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.
steven soderbergh doesn't remake andrei tarkovsky's solaris so much as distill it .,Real,TRUE,Guess reviews are real or fake,You will be randomly shown an online review from either IMDB or Yelp. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.
steven soderbergh doesn't remake andrei tarkovsky's solaris so much as distill it .,Computer-altered,TRUE,Guess reviews are real or fake,You will be randomly shown an online review from either IMDB or Yelp. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.
steven soderbergh doesn't remake andrei tarkovsky's solaris so much as distill it .,Computer-altered,TRUE,Guess reviews are real or fake,You will be randomly shown an online review from either IMDB or Yelp. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.
steven soderbergh doesn't remake andrei tarkovsky's solaris so much as distill it .,Computer-altered,TRUE,Guess reviews are real or fake,You will be randomly shown an online review from either IMDB or Yelp. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.
steven soderbergh doesn't remake andrei tarkovsky's solaris so much as distill it .,Computer-altered,TRUE,Guess reviews are real or fake,You will be randomly shown an online review from either IMDB or Yelp. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.
steven soderbergh doesn't remake andrei tarkovsky's solaris so much as distill it .,Real,TRUE,Guess reviews are real or fake,You will be randomly shown an online review from either IMDB or Yelp. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.
steven soderbergh doesn't remake andrei tarkovsky's solaris so much as distill it .,Real,TRUE,Guess reviews are real or fake,You will be randomly shown an online review from either IMDB or Yelp. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.
steven soderbergh doesn't remake andrei tarkovsky's solaris so much as distill it .,Computer-altered,TRUE,Guess reviews are real or fake,You will be randomly shown an online review from either IMDB or Yelp. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.
steven soderbergh doesn't remake andrei tarkovsky's solaris so much as distill it .,Real,TRUE,Guess reviews are real or fake,You will be randomly shown an online review from either IMDB or Yelp. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.
steven soderbergh doesn't remake andrei tarkovsky's solaris so much as distill it .,Computer-altered,TRUE,Guess reviews are real or fake,You will be randomly shown an online review from either IMDB or Yelp. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.
