Input.text1,Input.text2,Answer.semantic-similarity.label,Input.run_type,Input.dataset,Answer.semantic-similarity.label,Input.run_type,Input.dataset,Title,Description
 clooney directs this film always keeping the balance between the fantastic and the believable, clooney directs this film ever remained the counterbalance between the unbelievable and the believable,Agree,jin,movie_review,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,,,
 clooney directs this film always keeping the balance between the fantastic and the believable, clooney directs this film ever remained the counterbalance between the unbelievable and the believable,Strongly Disagree,jin,movie_review,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,,,
 clooney directs this film always keeping the balance between the fantastic and the believable, clooney directs this film ever remained the counterbalance between the unbelievable and the believable,Strongly Disagree,jin,movie_review,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,,,
 clooney directs this film always keeping the balance between the fantastic and the believable, clooney directs this film ever remained the counterbalance between the unbelievable and the believable,Strongly Agree,jin,movie_review,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,,,
 clooney directs this film always keeping the balance between the fantastic and the believable, clooney directs this film ever remained the counterbalance between the unbelievable and the believable,Agree,jin,movie_review,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,,,
 clooney directs this film always keeping the balance between the fantastic and the believable, clooney directs this film ever remained the counterbalance between the unbelievable and the believable,Agree,jin,movie_review,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,,,
 clooney directs this film always keeping the balance between the fantastic and the believable, clooney directs this film ever remained the counterbalance between the unbelievable and the believable,Agree,jin,movie_review,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,,,
 clooney directs this film always keeping the balance between the fantastic and the believable, clooney directs this film ever remained the counterbalance between the unbelievable and the believable,Agree,jin,movie_review,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,,,
 clooney directs this film always keeping the balance between the fantastic and the believable, clooney directs this film ever remained the counterbalance between the unbelievable and the believable,Not sure,jin,movie_review,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,,,
 clooney directs this film always keeping the balance between the fantastic and the believable, clooney directs this film ever remained the counterbalance between the unbelievable and the believable,Strongly Disagree,jin,movie_review,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,,,
 clooney directs this film always keeping the balance between the fantastic and the believable, clooney directs this film ever remained the counterbalance between the unbelievable and the believable,Strongly Disagree,jin,movie_review,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,,,
 clooney directs this film always keeping the balance between the fantastic and the believable, clooney directs this film ever remained the counterbalance between the unbelievable and the believable,Strongly Disagree,jin,imdb,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,,,
could easily be called the best korean film of 2002,could easily be called the upper korean film of 2002,Strongly Disagree,jin,movie_review,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,,,
could easily be called the best korean film of 2003,could easily be called the upper korean film of 2003,Strongly Disagree,jin,movie_review,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,,,
could easily be called the best korean film of 2004,could easily be called the upper korean film of 2004,Strongly Disagree,jin,movie_review,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,,,
could easily be called the best korean film of 2005,could easily be called the upper korean film of 2005,Strongly Disagree,jin,movie_review,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,,,
could easily be called the best korean film of 2006,could easily be called the upper korean film of 2006,Strongly Disagree,jin,movie_review,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,,,
could easily be called the best korean film of 2007,could easily be called the upper korean film of 2007,Strongly Disagree,jin,movie_review,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,,,
could easily be called the best korean film of 2008,could easily be called the upper korean film of 2008,Disagree,jin,movie_review,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,,,
could easily be called the best korean film of 2009,could easily be called the upper korean film of 2009,Disagree,jin,movie_review,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,,,
could easily be called the best korean film of 2010,could easily be called the upper korean film of 2010,Not sure,jin,movie_review,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,,,
could easily be called the best korean film of 2011,could easily be called the upper korean film of 2011,Not sure,jin,movie_review,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,,,
could easily be called the best korean film of 2012,could easily be called the upper korean film of 2012,Not sure,jin,imdb,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,,,
could easily be called the best korean film of 2013,could easily be called the upper korean film of 2013,Not sure,jin,imdb,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,,,
could easily be called the best korean film of 2014,could easily be called the upper korean film of 2014,Agree,jin,imdb,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,,,
could easily be called the best korean film of 2015,could easily be called the upper korean film of 2015,Agree,jin,imdb,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,,,
could easily be called the best korean film of 2016,could easily be called the upper korean film of 2016,Agree,jin,imdb,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,,,
could easily be called the best korean film of 2017,could easily be called the upper korean film of 2017,Agree,jin,imdb,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,,,
could easily be called the best korean film of 2018,could easily be called the upper korean film of 2018,Strongly Agree,jin,imdb,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,,,
could easily be called the best korean film of 2019,could easily be called the upper korean film of 2019,Strongly Agree,jin,imdb,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,,,
could easily be called the best korean film of 2020,could easily be called the upper korean film of 2020,Agree,jin,imdb,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,,,
could easily be called the best korean film of 2021,could easily be called the upper korean film of 2021,Strongly Agree,jin,imdb,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,,,
could easily be called the best korean film of 2022,could easily be called the upper korean film of 2022,Agree,jin,imdb,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,,,
could easily be called the best korean film of 2023,could easily be called the upper korean film of 2023,Not sure,jin,imdb,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,,,
could easily be called the best korean film of 2024,could easily be called the upper korean film of 2024,Strongly Disagree,jin,imdb,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,,,
could easily be called the best korean film of 2025,could easily be called the upper korean film of 2025,Agree,jin,imdb,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,,,
could easily be called the best korean film of 2026,could easily be called the upper korean film of 2026,Disagree,jin,imdb,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,,,
could easily be called the best korean film of 2027,could easily be called the upper korean film of 2027,Strongly Agree,jin,imdb,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,,,
could easily be called the best korean film of 2028,could easily be called the upper korean film of 2028,Not sure,jin,imdb,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,,,
could easily be called the best korean film of 2029,could easily be called the upper korean film of 2029,Agree,jin,imdb,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,,,
could easily be called the best korean film of 2030,could easily be called the upper korean film of 2030,Disagree,jin,imdb,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,,,
could easily be called the best korean film of 2031,could easily be called the upper korean film of 2031,Not sure,jin,imdb,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,,,
could easily be called the best korean film of 2032,could easily be called the upper korean film of 2032,Agree,jin,movie_review,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,,,
"a dark, dull thriller with a parting shot that misfires","a dark, sombre engrossing with a farewell killing that misfires",Strongly Disagree,jin,movie_review,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,,,
"a dark, dull thriller with a parting shot that misfires","a dark, sombre engrossing with a farewell killing that misfires",Strongly Disagree,jin,movie_review,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,,,
"a dark, dull thriller with a parting shot that misfires","a dark, sombre engrossing with a farewell killing that misfires",Strongly Disagree,jin,movie_review,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,,,
"a dark, dull thriller with a parting shot that misfires","a dark, sombre engrossing with a farewell killing that misfires",Disagree,jin,movie_review,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,,,
"a dark, dull thriller with a parting shot that misfires","a dark, sombre engrossing with a farewell killing that misfires",Disagree,jin,movie_review,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,,,
"a dark, dull thriller with a parting shot that misfires","a dark, sombre engrossing with a farewell killing that misfires",Not sure,jin,movie_review,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,,,
"a dark, dull thriller with a parting shot that misfires","a dark, sombre engrossing with a farewell killing that misfires",Not sure,jin,movie_review,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,,,
"a dark, dull thriller with a parting shot that misfires","a dark, sombre engrossing with a farewell killing that misfires",Not sure,jin,movie_review,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,,,
"a dark, dull thriller with a parting shot that misfires","a dark, sombre engrossing with a farewell killing that misfires",Not sure,jin,movie_review,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,,,
"a dark, dull thriller with a parting shot that misfires","a dark, sombre engrossing with a farewell killing that misfires",Not sure,jin,movie_review,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,,,
"a dark, dull thriller with a parting shot that misfires","a dark, sombre engrossing with a farewell killing that misfires",Not sure,jin,movie_review,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,,,
"a dark, dull thriller with a parting shot that misfires","a dark, sombre engrossing with a farewell killing that misfires",Not sure,jin,movie_review,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,,,
"a dark, dull thriller with a parting shot that misfires","a dark, sombre engrossing with a farewell killing that misfires",Not sure,jin,movie_review,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,,,
"a dark, dull thriller with a parting shot that misfires","a dark, sombre engrossing with a farewell killing that misfires",Agree,jin,movie_review,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,,,
"a dark, dull thriller with a parting shot that misfires","a dark, sombre engrossing with a farewell killing that misfires",Agree,jin,movie_review,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,,,
"a dark, dull thriller with a parting shot that misfires","a dark, sombre engrossing with a farewell killing that misfires",Agree,jin,movie_review,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,,,
"a dark, dull thriller with a parting shot that misfires","a dark, sombre engrossing with a farewell killing that misfires",Strongly Agree,jin,movie_review,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,,,
"a dark, dull thriller with a parting shot that misfires","a dark, sombre engrossing with a farewell killing that misfires",Disagree,jin,movie_review,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,,,
"a dark, dull thriller with a parting shot that misfires","a dark, sombre engrossing with a farewell killing that misfires",Agree,jin,movie_review,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,,,
"a dark, dull thriller with a parting shot that misfires","a dark, sombre engrossing with a farewell killing that misfires",Agree,jin,movie_review,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,,,
"a dark, dull thriller with a parting shot that misfires","a dark, sombre engrossing with a farewell killing that misfires",Disagree,jin,movie_review,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,,,
"a dark, dull thriller with a parting shot that misfires","a dark, sombre engrossing with a farewell killing that misfires",Disagree,jin,movie_review,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,,,
"a dark, dull thriller with a parting shot that misfires","a dark, sombre engrossing with a farewell killing that misfires",Disagree,jin,movie_review,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,,,
"a dark, dull thriller with a parting shot that misfires","a dark, sombre engrossing with a farewell killing that misfires",Disagree,jin,movie_review,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,,,
"a dark, dull thriller with a parting shot that misfires","a dark, sombre engrossing with a farewell killing that misfires",Disagree,jin,movie_review,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,,,
"a dark, dull thriller with a parting shot that misfires","a dark, sombre engrossing with a farewell killing that misfires",Disagree,jin,movie_review,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,,,
"a dark, dull thriller with a parting shot that misfires","a dark, sombre engrossing with a farewell killing that misfires",Disagree,jin,movie_review,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,,,
"a dark, dull thriller with a parting shot that misfires","a dark, sombre engrossing with a farewell killing that misfires",Agree,jin,movie_review,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,,,
"a dark, dull thriller with a parting shot that misfires","a dark, sombre engrossing with a farewell killing that misfires",Agree,jin,movie_review,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,,,
"a dark, dull thriller with a parting shot that misfires","a dark, sombre engrossing with a farewell killing that misfires",Agree,jin,movie_review,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,,,
"a dark, dull thriller with a parting shot that misfires","a dark, sombre engrossing with a farewell killing that misfires",Not sure,jin,movie_review,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,,,
" while we want macdowell's character to retrieve her husband, we have to ask whether her personal odyssey trumps the carnage that claims so many lives around her","while we wanting macdowell's character to retrieve her husband, we have to ask whether her personal odyssey trumps the carnage that claims so many lives around her",Strongly Disagree,jin,movie_review,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,,,
" while we want macdowell's character to retrieve her husband, we have to ask whether her personal odyssey trumps the carnage that claims so many lives around her","while we wanting macdowell's character to retrieve her husband, we have to ask whether her personal odyssey trumps the carnage that claims so many lives around her",Disagree,jin,movie_review,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,,,
" while we want macdowell's character to retrieve her husband, we have to ask whether her personal odyssey trumps the carnage that claims so many lives around her","while we wanting macdowell's character to retrieve her husband, we have to ask whether her personal odyssey trumps the carnage that claims so many lives around her",Disagree,jin,movie_review,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,,,
" while we want macdowell's character to retrieve her husband, we have to ask whether her personal odyssey trumps the carnage that claims so many lives around her","while we wanting macdowell's character to retrieve her husband, we have to ask whether her personal odyssey trumps the carnage that claims so many lives around her",Disagree,jin,movie_review,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,,,
" while we want macdowell's character to retrieve her husband, we have to ask whether her personal odyssey trumps the carnage that claims so many lives around her","while we wanting macdowell's character to retrieve her husband, we have to ask whether her personal odyssey trumps the carnage that claims so many lives around her",Not sure,jin,movie_review,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,,,
" while we want macdowell's character to retrieve her husband, we have to ask whether her personal odyssey trumps the carnage that claims so many lives around her","while we wanting macdowell's character to retrieve her husband, we have to ask whether her personal odyssey trumps the carnage that claims so many lives around her",Not sure,jin,movie_review,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,,,
" while we want macdowell's character to retrieve her husband, we have to ask whether her personal odyssey trumps the carnage that claims so many lives around her","while we wanting macdowell's character to retrieve her husband, we have to ask whether her personal odyssey trumps the carnage that claims so many lives around her",Not sure,jin,movie_review,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,,,
" while we want macdowell's character to retrieve her husband, we have to ask whether her personal odyssey trumps the carnage that claims so many lives around her","while we wanting macdowell's character to retrieve her husband, we have to ask whether her personal odyssey trumps the carnage that claims so many lives around her",Not sure,jin,movie_review,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,,,
" while we want macdowell's character to retrieve her husband, we have to ask whether her personal odyssey trumps the carnage that claims so many lives around her","while we wanting macdowell's character to retrieve her husband, we have to ask whether her personal odyssey trumps the carnage that claims so many lives around her",Agree,jin,movie_review,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,,,
" while we want macdowell's character to retrieve her husband, we have to ask whether her personal odyssey trumps the carnage that claims so many lives around her","while we wanting macdowell's character to retrieve her husband, we have to ask whether her personal odyssey trumps the carnage that claims so many lives around her",Agree,jin,movie_review,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,,,
" while we want macdowell's character to retrieve her husband, we have to ask whether her personal odyssey trumps the carnage that claims so many lives around her","while we wanting macdowell's character to retrieve her husband, we have to ask whether her personal odyssey trumps the carnage that claims so many lives around her",Agree,jin,movie_review,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,,,
" while we want macdowell's character to retrieve her husband, we have to ask whether her personal odyssey trumps the carnage that claims so many lives around her","while we wanting macdowell's character to retrieve her husband, we have to ask whether her personal odyssey trumps the carnage that claims so many lives around her",Strongly Agree,jin,movie_review,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,,,
" while we want macdowell's character to retrieve her husband, we have to ask whether her personal odyssey trumps the carnage that claims so many lives around her","while we wanting macdowell's character to retrieve her husband, we have to ask whether her personal odyssey trumps the carnage that claims so many lives around her",Strongly Agree,jin,movie_review,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,,,
" while we want macdowell's character to retrieve her husband, we have to ask whether her personal odyssey trumps the carnage that claims so many lives around her","while we wanting macdowell's character to retrieve her husband, we have to ask whether her personal odyssey trumps the carnage that claims so many lives around her",Strongly Agree,jin,movie_review,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,,,
" while we want macdowell's character to retrieve her husband, we have to ask whether her personal odyssey trumps the carnage that claims so many lives around her","while we wanting macdowell's character to retrieve her husband, we have to ask whether her personal odyssey trumps the carnage that claims so many lives around her",Strongly Agree,jin,movie_review,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,,,
" while we want macdowell's character to retrieve her husband, we have to ask whether her personal odyssey trumps the carnage that claims so many lives around her","while we wanting macdowell's character to retrieve her husband, we have to ask whether her personal odyssey trumps the carnage that claims so many lives around her",Strongly Agree,jin,movie_review,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,,,
" while we want macdowell's character to retrieve her husband, we have to ask whether her personal odyssey trumps the carnage that claims so many lives around her","while we wanting macdowell's character to retrieve her husband, we have to ask whether her personal odyssey trumps the carnage that claims so many lives around her",Strongly Agree,jin,movie_review,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,,,
" while we want macdowell's character to retrieve her husband, we have to ask whether her personal odyssey trumps the carnage that claims so many lives around her","while we wanting macdowell's character to retrieve her husband, we have to ask whether her personal odyssey trumps the carnage that claims so many lives around her",Agree,jin,movie_review,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,,,
" while we want macdowell's character to retrieve her husband, we have to ask whether her personal odyssey trumps the carnage that claims so many lives around her","while we wanting macdowell's character to retrieve her husband, we have to ask whether her personal odyssey trumps the carnage that claims so many lives around her",Agree,jin,movie_review,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,,,
" while we want macdowell's character to retrieve her husband, we have to ask whether her personal odyssey trumps the carnage that claims so many lives around her","while we wanting macdowell's character to retrieve her husband, we have to ask whether her personal odyssey trumps the carnage that claims so many lives around her",Strongly Agree,jin,movie_review,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,,,
" while we want macdowell's character to retrieve her husband, we have to ask whether her personal odyssey trumps the carnage that claims so many lives around her","while we wanting macdowell's character to retrieve her husband, we have to ask whether her personal odyssey trumps the carnage that claims so many lives around her",Strongly Agree,jin,movie_review,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,,,
" while we want macdowell's character to retrieve her husband, we have to ask whether her personal odyssey trumps the carnage that claims so many lives around her","while we wanting macdowell's character to retrieve her husband, we have to ask whether her personal odyssey trumps the carnage that claims so many lives around her",Not sure,jin,movie_review,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,,,
" while we want macdowell's character to retrieve her husband, we have to ask whether her personal odyssey trumps the carnage that claims so many lives around her","while we wanting macdowell's character to retrieve her husband, we have to ask whether her personal odyssey trumps the carnage that claims so many lives around her",Agree,jin,movie_review,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,,,
" while we want macdowell's character to retrieve her husband, we have to ask whether her personal odyssey trumps the carnage that claims so many lives around her","while we wanting macdowell's character to retrieve her husband, we have to ask whether her personal odyssey trumps the carnage that claims so many lives around her",Agree,jin,movie_review,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,,,
" while we want macdowell's character to retrieve her husband, we have to ask whether her personal odyssey trumps the carnage that claims so many lives around her","while we wanting macdowell's character to retrieve her husband, we have to ask whether her personal odyssey trumps the carnage that claims so many lives around her",Disagree,jin,movie_review,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,,,
" while we want macdowell's character to retrieve her husband, we have to ask whether her personal odyssey trumps the carnage that claims so many lives around her","while we wanting macdowell's character to retrieve her husband, we have to ask whether her personal odyssey trumps the carnage that claims so many lives around her",Agree,jin,movie_review,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,,,
